category,pipedrive_org_id,pipedrive_org_name,blank_field_to_fill,existing_field,existing_value,proposed_value,source_table,source_id,source_field,confidence_tier,match_strategy,reason,candidate_count,source_name,source_exact_name_match
name_review,922,Babb's Body Shop,,website,babbsbodyshop.net,http://www.babbsbodyshop.com/,body_shops,ChIJob5ebLLCX4gRy0L2j0pI1DA,website,conflict,exact_phone,Pipedrive name differs from source name; hold for manual review before considering the website conflict (Babb's Body Shop vs Babb's Body Shop 24 Hour Wrecker Service),1,Babb's Body Shop 24 Hour Wrecker Service,no
existing_conflict,924,Kevin Ball Auto Body,,website,kevinballauto.com,https://www.autobody-review.com/shop/4800/kevin-ball-auto-body,body_shops,ChIJV2blyk5Q2IcRc3_0FVvvKt4,website,conflict,exact_phone,Pipedrive already has a different website; review before any overwrite,1,Kevin Ball Auto Body,yes
name_review,945,Coachman Auto Body,,website,coachmanautomotive.com,https://crashchampions.com/locations/crash-champions-coeur-dalene,body_shops,ChIJufVLn9nAYVMRmyNlAxeFEEc,website,conflict,exact_phone,Pipedrive name differs from source name; hold for manual review before considering the website conflict (Coachman Auto Body vs Crash Champions Collision Repair Coeur D'alene),1,Crash Champions Collision Repair Coeur D'alene,no
name_review,964,Complete Auto Body and Repair - North Lindbergh,,website,completeab.com,https://www.completeautobodycenters.com/,body_shops,ChIJh2zfstE234cRdXsqQQ375cE,website,conflict,exact_phone,Pipedrive name differs from source name; hold for manual review before considering the website conflict (Complete Auto Body and Repair - North Lindbergh vs Complete Auto Body & Repair),1,Complete Auto Body & Repair,no
existing_conflict,970,Concours Body Shop,,website,concoursbodyshop.net,https://concoursbodyshop.net/%3Fy_source%3D1_MTI2NDA3MTktNzE1LWxvY2F0aW9uLndlYnNpdGU%253D,body_shops,ChIJEahm32k_mYARsvJCAyTPbuo,website,conflict,exact_phone,Pipedrive already has a different website; review before any overwrite,1,Concours Body Shop,yes
name_review,975,Cooper's Paint & Body Shop,,website,cooperspaintandbody.com,https://classiccollision.com/locations/classic-collision-key-west/,body_shops,ChIJ49aVMXix0YgREFR4QKTtYw0,website,conflict,exact_phone,Pipedrive name differs from source name; hold for manual review before considering the website conflict (Cooper's Paint & Body Shop vs Classic Collision),1,Classic Collision,no
existing_conflict,981,Courtesy Body Works,,phone,(865) 689-2978,+1 865-689-2378,body_shops,ChIJxacIfwAXXIgR8N7YeG8zX5Q,phone,conflict,exact_name_zip,Pipedrive already has a different phone; review before any overwrite,1,Courtesy Body Works,yes
existing_conflict,981,Courtesy Body Works,,website,www.courtesybodyworks.com,https://courtesybodyworks.com/%3Fy_source%3D1_MTUwMTU5MjItNzE1LWxvY2F0aW9uLndlYnNpdGU%253D,body_shops,ChIJxacIfwAXXIgR8N7YeG8zX5Q,website,conflict,exact_name_zip,Pipedrive already has a different website; review before any overwrite,1,Courtesy Body Works,yes
name_review,989,D&M Auto Body,,phone,"(973) 627-0059, 973-627-9055",+1 661-323-0603,body_shops,ChIJXbT3VtNr6oARD9TKoPFjmD8,phone,conflict,exact_name_only,Pipedrive name differs from source name; hold for manual review before considering the phone conflict (D&M Auto Body vs D & M Auto Body),6,D & M Auto Body,no
existing_conflict,994,Daku's Auto Body Shop,,website,dakuautobody.com,https://www.dakuautobody.com/%3Fy_source%3D1_MjgyMTYzMjYtNzE1LWxvY2F0aW9uLndlYnNpdGU%253D,body_shops,ChIJBYE7h444xIkR81cUweaj9v8,website,conflict,exact_phone,Pipedrive already has a different website; review before any overwrite,1,Daku's Auto Body Shop,yes
existing_conflict,1026,Bates Collision Centers,,website,batescc.com,https://batescc.com/body-shop-baytown/,body_shops,ChIJwzQpGjtcP4YRWCCy9pKamro,website,conflict,exact_phone,Pipedrive already has a different website; review before any overwrite,1,Bates Collision Centers,yes
existing_conflict,1031,Beal's Auto Body and Paint,,website,bealsautobodyandpaint.com,https://bealsautobodyandpaint.com/%3Fy_source%3D1_MTAzODMyMDY5OS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%253D%253D,body_shops,ChIJO7Ju0MMuLYcRhM_AlPa10sw,website,conflict,exact_phone,Pipedrive already has a different website; review before any overwrite,1,Beal's Auto Body and Paint,yes
name_review,1035,Bebrick Collision Center,,website,bebrickcollision.com,https://jhcc.com/locations/auto-body-shop-waco-tx/,body_shops,ChIJ8dLd4G-DT4YRxB9jdNr9wzk,website,conflict,exact_phone,Pipedrive name differs from source name; hold for manual review before considering the website conflict (Bebrick Collision Center vs Joe Hudson's Collision Center),1,Joe Hudson's Collision Center,no
existing_conflict,1039,Hampden Auto Body,,website,hampdenautobody.com,https://denverautobodyrepair.net/,body_shops,ChIJewVBcP1_bIcRqHeec8ZAjfk,website,conflict,exact_phone,Pipedrive already has a different website; review before any overwrite,1,Hampden Auto Body,yes
name_review,1045,Harold's Auto Body Ltd.,,phone,780-478-4671,+1 208-342-2043,body_shops,ChIJF40hnTn4rlQRdrrmXMQrdFg,phone,conflict,exact_name_only,Pipedrive name differs from source name; hold for manual review before considering the phone conflict (Harold's Auto Body Ltd. vs Harold's Autobody),1,Harold's Autobody,no
name_review,1045,Harold's Auto Body Ltd.,,website,haroldsautobody.net,http://haroldsautobody.com/,body_shops,ChIJF40hnTn4rlQRdrrmXMQrdFg,website,conflict,exact_name_only,Pipedrive name differs from source name; hold for manual review before considering the website conflict (Harold's Auto Body Ltd. vs Harold's Autobody),1,Harold's Autobody,no
name_review,1060,Herrick Auto Rebuilders,,website,herrickautobody.com,https://www.herrickautorebuilders.com/,body_shops,ChIJCVZmrhRtD4gRtcj2HEPn2iw,website,conflict,exact_phone,"Pipedrive name differs from source name; hold for manual review before considering the website conflict (Herrick Auto Rebuilders vs HERRICK AUTO REBUILDERS, INC.)",1,"HERRICK AUTO REBUILDERS, INC.",no
existing_conflict,1061,Bistagne Bros. Body Shop,,website,bistagtnebros.com,https://www.bistagnebros.com/,body_shops,ChIJxzac6AnBwoARMuhrEEbEcMk,website,conflict,exact_phone,Pipedrive already has a different website; review before any overwrite,1,Bistagne Bros. Body Shop,yes
existing_conflict,1062,Highlands Ranch Collision Center,,website,highlandsranchcollisioncenter.com,https://highlandsranchcollision.com/,body_shops,ChIJtYCp7bCCbIcRN4FKAZkxBkw,website,conflict,exact_phone,Pipedrive already has a different website; review before any overwrite,1,Highlands Ranch Collision Center,yes
existing_conflict,1069,Hogan & Van Auto Body,,phone,(781) 436-0366,+1 781-396-8282,body_shops,ChIJ1zAgEM5244kRytZeuMpdUx4,phone,conflict,exact_name_zip,Pipedrive already has a different phone; review before any overwrite,1,Hogan & Van Auto Body,yes
existing_conflict,1069,Hogan & Van Auto Body,,website,hoganandvan.com,https://hoganandvan.com/%3Fy_source%3D1_MTU3OTc4MjgtNzE1LWxvY2F0aW9uLndlYnNpdGU%253D,body_shops,ChIJ1zAgEM5244kRytZeuMpdUx4,website,conflict,exact_name_zip,Pipedrive already has a different website; review before any overwrite,1,Hogan & Van Auto Body,yes
existing_conflict,1087,IFM Collision Center,,website,https://ifmcollisioncenter.com,https://ifmcollisioncenter.com/%3Fy_source%3D1_MTQ3NzQwNzMtNzE1LWxvY2F0aW9uLndlYnNpdGU%253D,body_shops,ChIJkzXFpHe6wokRTJuoQqDUea4,website,conflict,exact_phone,Pipedrive already has a different website; review before any overwrite,1,IFM Collision Center,yes
existing_conflict,1090,Impact Auto Body,,phone,(480) 325-5035,+1 323-938-5555,body_shops,ChIJIfkzHBC5woARwDa1GGu6fGo,phone,conflict,exact_name_only,Pipedrive already has a different phone; review before any overwrite,4,Impact Auto Body,yes
existing_conflict,1090,Impact Auto Body,,website,impactautobody.com,http://impactautobodyshop.com/,body_shops,ChIJIfkzHBC5woARwDa1GGu6fGo,website,conflict,exact_name_only,Pipedrive already has a different website; review before any overwrite,4,Impact Auto Body,yes
needs_review_fill,1098,International Body Shop,address,,,"7525 S Central Expy, Dallas, TX 75216",body_shops,ChIJ7eM5fQKYToYRxKEcRTrRxhQ,address,review,exact_name_only,exact_name_only; same normalized name,2,International Body Shop,yes
needs_review_fill,1098,International Body Shop,phone,,,+1 214-374-6225,body_shops,ChIJ7eM5fQKYToYRxKEcRTrRxhQ,phone,review,exact_name_only,exact_name_only; same normalized name,2,International Body Shop,yes
name_review,1106,Island Fender,website,,,https://www.islandfender.com/,body_shops,ChIJBS7bduJtAHwRhnUHSFREZV8,website,review,exact_phone,Pipedrive name differs from source name; hold for manual review (Island Fender vs ISLAND FENDER),1,ISLAND FENDER,no
name_review,1118,Jim Chapman's Body Shop,,website,jim-chapmans-body-shop.edan.io,http://jim-chapmans-body-shop.jany.io/,body_shops,ChIJ-zKeHwmV_IYRKdJg_5zUM0Q,website,conflict,exact_phone,"Pipedrive name differs from source name; hold for manual review before considering the website conflict (Jim Chapman's Body Shop vs Jimchapman""s Body Shop)",1,"Jimchapman""s Body Shop",no
existing_conflict,1121,Budd Baer Collision Center,,website,buddbear.com,http://www.buddbaercollision.com/,body_shops,ChIJz94sPKqtNYgRrCphAj3xa5U,website,conflict,exact_phone,Pipedrive already has a different website; review before any overwrite,1,Budd Baer Collision Center,yes
existing_conflict,1126,Bump & Grind Auto Body,,phone,"(708) 301-6262, 708-301-6262",+1 708-395-7286,body_shops,ChIJ71h3B_NBDogRywnzTjYZzI4,phone,conflict,exact_name_zip,Pipedrive already has a different phone; review before any overwrite,1,Bump & Grind Auto Body,yes
name_review,1128,BumperDoc of Millenia,,website,bumperdocofmillenia.com,http://milleniaautobody.com/,body_shops,ChIJ8adNS0J754gRKx8BG7VjRtQ,website,conflict,exact_phone,Pipedrive name differs from source name; hold for manual review before considering the website conflict (BumperDoc of Millenia vs Millenia Auto Body),1,Millenia Auto Body,no
name_review,1129,Burl's Collision Center,,website,burlscollision.com,https://classiccollision.com/locations/classic-collision-north-frisco/,body_shops,ChIJKUKxUcfON4YRmRsnwCs3AVI,website,conflict,exact_phone,Pipedrive name differs from source name; hold for manual review before considering the website conflict (Burl's Collision Center vs Classic Collision),1,Classic Collision,no
name_review,1139,Cable Dahmer Collision Center - BGC,,website,cabledahmer.com,https://crashchampions.com/locations/crash-champions-ind-noland,body_shops,ChIJJfzoHcrjwIcRdvaVh4XtG1s,website,conflict,exact_phone,Pipedrive name differs from source name; hold for manual review before considering the website conflict (Cable Dahmer Collision Center - BGC vs Crash Champions Collision Repair Ind Noland),1,Crash Champions Collision Repair Ind Noland,no
name_review,1141,K&M Collision,,phone,"(828) 569-1275, 828-635-0322",+1 828-569-1275,body_shops,ChIJryiFh-s7UYgRUtSCOnZO1MU,phone,conflict,exact_name_zip,Pipedrive name differs from source name; hold for manual review before considering the phone conflict (K&M Collision vs K & M Collision),1,K & M Collision,no
name_review,1141,K&M Collision,,website,kandmcollision.com,https://kandmcollision.com/%3Futm_source%3Dgbp%26utm_medium%3Dorganic%26utm_campaign%3Dwebsite-button,body_shops,ChIJryiFh-s7UYgRUtSCOnZO1MU,website,conflict,exact_name_zip,Pipedrive name differs from source name; hold for manual review before considering the website conflict (K&M Collision vs K & M Collision),1,K & M Collision,no
existing_conflict,1158,Kenny Davis Collision,,website,kennydaviscollision.com,https://bobmaloneycollision.com/%3Fy_source%3D1_OTY4NzE1OTQtNzE1LWxvY2F0aW9uLndlYnNpdGU%253D,body_shops,ChIJeRCoKT8byYcRV8JFcffSFQU,website,conflict,exact_phone,Pipedrive already has a different website; review before any overwrite,1,Kenny Davis Collision,yes
name_review,1162,Keno/Gustafson [Main],,website,kenocollision.com,https://www.gustafsonbodyshop.com/,body_shops,ChIJ2cm5hGaXD4gRl0s3GsTPnX8,website,conflict,exact_phone,Pipedrive name differs from source name; hold for manual review before considering the website conflict (Keno/Gustafson [Main] vs Gustafson Body Shop),1,Gustafson Body Shop,no
existing_conflict,1171,Kilkeary's Auto Body,,website,kilkearysautobody.com,https://www.kilkearysautobody.com/%3Fy_source%3D1_MTAwMzI1NjIxOC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%253D%253D,body_shops,ChIJaWoj8Yj_NIgR3C3wxqGrEhk,website,conflict,exact_phone,Pipedrive already has a different website; review before any overwrite,1,Kilkeary's Auto Body,yes
needs_review_fill,1173,King Collision Centers,address,,,"38 Schoosett St, Pembroke, MA 02359",body_shops,ChIJMcz5ysSh5IkR1PqX9yA9PHQ,address,review,exact_name_only,exact_name_only; same normalized name,1,King Collision Centers,yes
needs_review_fill,1173,King Collision Centers,phone,,,+1 781-826-7575,body_shops,ChIJMcz5ysSh5IkR1PqX9yA9PHQ,phone,review,exact_name_only,exact_name_only; same normalized name,1,King Collision Centers,yes
needs_review_fill,1173,King Collision Centers,website,,,https://kingcollision.com/,body_shops,ChIJMcz5ysSh5IkR1PqX9yA9PHQ,website,review,exact_name_only,exact_name_only; same normalized name,1,King Collision Centers,yes
name_review,1187,Central Auto Body,,website,autobody123.com,https://classiccollision.com/locations/classic-collision-central-point/,body_shops,ChIJwb8xi698z1QRmaRt7smIPXw,website,conflict,exact_phone,Pipedrive name differs from source name; hold for manual review before considering the website conflict (Central Auto Body vs Classic Collision),1,Classic Collision,no
name_review,1201,LaMettry's Collision [Main],,website,https://www.lamettrys.com/,https://www.lamettrys.com/bloomington-location/,body_shops,ChIJUxDokgMl9ocRrn95_WgZXiQ,website,conflict,exact_phone,"Pipedrive name differs from source name; hold for manual review before considering the website conflict (LaMettry's Collision [Main] vs LaMettry's Collision, Inc. of Bloomington)",1,"LaMettry's Collision, Inc. of Bloomington",no
name_review,1220,Lee's Garage,,website,leesgarage.com,https://www.leesgarage.com/%3Fy_source%3D1_MTE1OTU5NjEtNzE1LWxvY2F0aW9uLndlYnNpdGU%253D,body_shops,ChIJrdlrlmslwokRLEYJsJn4cVw,website,conflict,exact_phone,Pipedrive name differs from source name; hold for manual review before considering the website conflict (Lee's Garage vs Lee’s Garage of West Long Branch),1,Lee’s Garage of West Long Branch,no
name_review,1235,Xtreme Collision Center,website,,,https://landersauto.com/%3Futm_source%3Dgoogle-gmb-maps%26utm_medium%3Dgmb-website-button%26utm_campaign%3Dlocl.io%26utm_content%3D13b266de-fb88-4404-9211-db7db9f39382,body_shops,ChIJVdZr9VzhdYgRG9EYCdN37DU,website,review,exact_phone,Pipedrive name differs from source name; hold for manual review (Xtreme Collision Center vs Auto Xtreme Collision - Powered by Landers Collision Network),1,Auto Xtreme Collision - Powered by Landers Collision Network,no
existing_conflict,1238,Majestic Auto Body,,website,majesticautobody.com,https://majesticautobody.com/%3Fy_source%3D1_MTAwMDA1OTM4MC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%253D%253D,body_shops,ChIJEdmuxX1eVFMRX1m-GkhowMk,website,conflict,exact_phone,Pipedrive already has a different website; review before any overwrite,1,Majestic Auto Body,yes
name_review,1241,Fradella's Collision Centers,,website,fradellas.com,https://classiccollision.com/locations/classic-collision-chalmette/,body_shops,ChIJLQUFCdscnogRj6Zl-aFbK9M,website,conflict,exact_phone,Pipedrive name differs from source name; hold for manual review before considering the website conflict (Fradella's Collision Centers vs Classic Collision),1,Classic Collision,no
name_review,1258,Drury Body Shop,,website,https://www.drurybodyshop.com/,https://drurybodyshop.com/amarillo-collision-repair/,body_shops,ChIJW4HD-dtPAYcRMVf9NrFMpC8,website,conflict,exact_phone,Pipedrive name differs from source name; hold for manual review before considering the website conflict (Drury Body Shop vs Drury - Moss Collision),1,Drury - Moss Collision,no
name_review,1265,Elite Auto Collision - Athens,website,,,https://classiccollision.com/locations/classic-collision-athens/,body_shops,ChIJN7Z2wQhz9ogRsi9LM19aacM,website,review,exact_phone,Pipedrive name differs from source name; hold for manual review (Elite Auto Collision - Athens vs Classic Collision),1,Classic Collision,no
name_review,1306,Fitzgerald Auto Group [Main],,website,fitzgeraldautogroup.com,https://www.caliber.com/find-a-location/monroeville%3Futm_source%3Dgoogle%26utm_medium%3Dgbp-profile%26utm_campaign%3Dwebform-GBPwebsite%26utm_content%3D%26utm_term%3D%26utm_id%3D0966,body_shops,ChIJJZi5tVc7OogR9rBnLVMZ36w,website,conflict,exact_phone,Pipedrive name differs from source name; hold for manual review before considering the website conflict (Fitzgerald Auto Group [Main] vs Caliber Collision),1,Caliber Collision,no
existing_conflict,1309,Fix Auto Chicago,,website,fixauto.com,https://fixautousa.com/locations/illinois/chicago/,body_shops,ChIJtavXU-TMD4gROH5aCb_sJuY,website,conflict,exact_phone,Pipedrive already has a different website; review before any overwrite,1,Fix Auto Chicago,yes
name_review,1312,Fix Auto Sun Valley,,website,fixauto.com/sun-valley,https://www.mavenautobody.com/,body_shops,ChIJu7RSFDWUwoARfPBSsOGwn88,website,conflict,exact_phone,Pipedrive name differs from source name; hold for manual review before considering the website conflict (Fix Auto Sun Valley vs Maven Autobody),1,Maven Autobody,no
existing_conflict,1316,Forrest Auto Body,,phone,(847) 695-6644,+1 207-223-5021,body_shops,ChIJzQsJxVlPrkwRVuJZLptVL0c,phone,conflict,exact_name_only,Pipedrive already has a different phone; review before any overwrite,1,Forrest Auto Body,yes
existing_conflict,1316,Forrest Auto Body,,website,forrestautobody.com,https://www.forrestautobodyme.com/,body_shops,ChIJzQsJxVlPrkwRVuJZLptVL0c,website,conflict,exact_name_only,Pipedrive already has a different website; review before any overwrite,1,Forrest Auto Body,yes
name_review,1318,Frank's Accurate Body Shop,,website,franksabs.com,https://jhcc.com/locations/auto-body-shop-slidell-la/,body_shops,ChIJH8IyJ-rmnYgRI0j4Mzc80Vo,website,conflict,exact_phone,Pipedrive name differs from source name; hold for manual review before considering the website conflict (Frank's Accurate Body Shop vs Joe Hudson's Collision Center),1,Joe Hudson's Collision Center,no
name_review,1330,Joe Hudson's Collision Center (formerly Gilmore's Collision Center),,website,jhcc.com,https://jhcc.com/locations/auto-body-shop-wichita-falls/%3Futm_source%3Dgmb%26utm_medium%3DYext%26y_source%3D1_MjQxMzAyMzEtNzE1LWxvY2F0aW9uLndlYnNpdGU%253D,body_shops,ChIJ0bgnlA0gU4YRtMd7ncjM3Zw,website,conflict,exact_phone,Pipedrive name differs from source name; hold for manual review before considering the website conflict (Joe Hudson's Collision Center (formerly Gilmore's Collision Center) vs Joe Hudson's Collision Center),1,Joe Hudson's Collision Center,no
name_review,1335,CARSTAR - Gobel's Collision,website,,,https://www.carstar.com/locations/mo/west-plains-15516/,body_shops,ChIJMx3lLtlZ0IcRY33QPgbBwTE,website,review,exact_phone,Pipedrive name differs from source name; hold for manual review (CARSTAR - Gobel's Collision vs CARSTAR Gobel's Collision),1,CARSTAR Gobel's Collision,no
existing_conflict,1338,Golden West Collision Center,,website,goldenwestcollision.com,http://www.goldenwestcollision.com/%3Fy_source%3D1_MTE5MjU4MDYtNzE1LWxvY2F0aW9uLndlYnNpdGU%253D,body_shops,ChIJAaGUk4q2j4ARQmiHVyu6UxY,website,conflict,exact_phone,Pipedrive already has a different website; review before any overwrite,1,Golden West Collision Center,yes
name_review,1351,Lexus of Pembroke Pines Collision Center,,website,pembrokepinescollisioncenter.com,https://www.craigzinncollisioncenters.com/%3Futm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3Dgmb-service,body_shops,ChIJ435knY-3EhQRwptXwluk9IQ,website,conflict,exact_phone,Pipedrive name differs from source name; hold for manual review before considering the website conflict (Lexus of Pembroke Pines Collision Center vs Zinn Collision Center at Pembroke Pines),1,Zinn Collision Center at Pembroke Pines,no
name_review,1355,Lindsay Collision Center,,website,lindsaycollision.com,https://www.lindsaycollision.com/collision-repair-springfield/,body_shops,ChIJhVI6ruuyt4kRxqks0SOOC_s,website,conflict,exact_phone,Pipedrive name differs from source name; hold for manual review before considering the website conflict (Lindsay Collision Center vs Lindsay Collision Center Springfield),1,Lindsay Collision Center Springfield,no
existing_conflict,1361,Lovetts Body Shop,,phone,"602-264-6800, 602-264-6808",+1 602-264-6800,body_shops,ChIJz2Qq_J4SK4cRE2lyDfnJPFc,phone,conflict,exact_name_zip,Pipedrive already has a different phone; review before any overwrite,1,Lovetts Body Shop,yes
name_review,1364,Mackin's Auto Body,,website,mackinsab.com,https://www.mackinsab.com/locations/east-vancouver/%3Futm_source%3Dgooglebusinessprofile%26utm_medium%3Dorganic%26utm_campaign%3Dgbpwebsitelink,body_shops,ChIJG6V9wiellVQRYbbQ0mQOfVk,website,conflict,exact_phone,Pipedrive name differs from source name; hold for manual review before considering the website conflict (Mackin's Auto Body vs Mackin's Auto Body East Vancouver),1,Mackin's Auto Body East Vancouver,no
name_review,1365,"Mahnke Auto Body, Inc",,website,mahnkeautobody.com,https://kaizencollision.com/locations/body-shop-arvada-co/,body_shops,ChIJe1jDtNyHa4cRUwdbqs4zaiw,website,conflict,exact_phone,"Pipedrive name differs from source name; hold for manual review before considering the website conflict (Mahnke Auto Body, Inc vs Kaizen Collision Center - Arvada)",1,Kaizen Collision Center - Arvada,no
name_review,1368,Manuel Collision Center,,website,manuelcollisioncenter.com,https://jhcc.com/locations/auto-body-shop-ada-ok/,body_shops,ChIJ8QxnyLNBs4cREUKEcCAwFWk,website,conflict,exact_phone,Pipedrive name differs from source name; hold for manual review before considering the website conflict (Manuel Collision Center vs Joe Hudson's Collision Center),1,Joe Hudson's Collision Center,no
name_review,1376,Master Collision Group,,website,mastercollisiongroup.com,https://www.lamettrys.com/south-minneapolis-location/,body_shops,ChIJnee4hsAn9ocRdQECetca9h0,website,conflict,exact_phone,"Pipedrive name differs from source name; hold for manual review before considering the website conflict (Master Collision Group vs LaMettry's Collision, Inc. of South Minneapolis)",1,"LaMettry's Collision, Inc. of South Minneapolis",no
existing_conflict,1380,McDonald Collision,,website,mcdonaldcollision.com,https://mcdonaldcollision.com/%3Fy_source%3D1_MTYzMTU4ODEtNzE1LWxvY2F0aW9uLndlYnNpdGU%253D,body_shops,ChIJfRhiRCGCbIcRTWjNB-pBpAQ,website,conflict,exact_phone,Pipedrive already has a different website; review before any overwrite,1,McDonald Collision,yes
name_review,1386,Meramec Heights Collision Center,,website,mhcc@mhccpab.com,https://www.gerbercollision.com/locations/arnold-mo%3Futm_source%3DSEO_Local%26utm_medium%3DSEO_Local_Snack_Pack%26utm_campaign%3DMO%26utm_content%3DArnold,body_shops,ChIJ2W9RQhLF2IcRvalU-l8HiDM,website,conflict,exact_phone,Pipedrive name differs from source name; hold for manual review before considering the website conflict (Meramec Heights Collision Center vs Gerber Collision & Glass),1,Gerber Collision & Glass,no
name_review,1403,Morse Evergreen Auto Body,,website,morseevergreenautobody.com,https://www.carstar.com/locations/co/evergreen-15810/,body_shops,ChIJI0NF9HZ2a4cRC1OHJRCSAnI,website,conflict,exact_phone,Pipedrive name differs from source name; hold for manual review before considering the website conflict (Morse Evergreen Auto Body vs CARSTAR Morse Evergreen Auto Body),1,CARSTAR Morse Evergreen Auto Body,no
existing_conflict,1409,Maaco Auto Body Shop & Painting,,website,maaco.com,https://www.maaco.com/locations/tx/new-braunfels-12741/%3Futm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3Dgbp_website,body_shops,ChIJLWdpxd6XXIYR4DPxwtLc5jY,website,conflict,exact_phone,Pipedrive already has a different website; review before any overwrite,1,Maaco Auto Body Shop & Painting,yes
name_review,1415,Noaker's Auto Body,,website,noakersautobody.com,https://www.vivecollision.com/shop/noakersautobody/,body_shops,ChIJX4NY36TQyIkRs3Vb8FIuN10,website,conflict,exact_phone,Pipedrive name differs from source name; hold for manual review before considering the website conflict (Noaker's Auto Body vs Noaker’s Auto Body),1,Noaker’s Auto Body,no
name_review,1423,Northwest Arkansas Collision Center [Main]/Gerber Collision & Glass,,website,nwacollision.com,https://www.gerbercollision.com/locations/farmington-ar%3Futm_source%3DSEO_Local%26utm_medium%3DSEO_Local_Snack_Pack%26utm_campaign%3DAR%26utm_content%3DFarmington,body_shops,ChIJpUxnINpvyYcRCcTSFq0YeNs,website,conflict,exact_phone,Pipedrive name differs from source name; hold for manual review before considering the website conflict (Northwest Arkansas Collision Center [Main]/Gerber Collision & Glass vs Gerber Collision & Glass),1,Gerber Collision & Glass,no
